Time
16:55.4
17:13.4
17:44.0
17:56.0
18:10.0
18:13.6
18:26.8
18:36.0
18:37.7
18:40.6
18:41.0
18:44.0
18:50.9
18:54.8
19:00.3
19:01.0
19:04.3
19:10.5
19:15.0
19:18.0
19:23.0
19:23.0
19:35.0
19:41.0
19:47.0
19:48.8
19:53.0
19:53.6
19:55.2
19:56.0
20:03.0
20:17.4
20:18.0
20:32.0
20:34.3
20:43.0
20:45.2
20:49.5
20:54.0
20:58.7
21:06.0
21:11.0
21:12.0
21:15.7
21:25.0
21:32.8
21:59.0
22:07.8
22:25.7
22:29.8
